index,description,object_category,candidate_ids,candidate_count,known_traits,missing_traits,expected_response,Verified
16,gear of Row 3,gear,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,row,side_or_size,Do you mean the smaller left gear or the larger right gear?,
17,green gear,gear,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,color,side_or_size,Do you mean the smaller or larger green gear?,
18,gear in the hexagon row,gear,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,row_marker,side_or_size,Do you mean the smaller left gear or the larger right gear?,
19,Row 1 screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
20,white-row screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
21,Row 1 bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT,2,row,side,Do you mean the left or right bearing?,
22,bearing in the circle row,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
23,Row 2 screw,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
24,red-row screw,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
25,Row 2 bearing,bearing,BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT,2,row,side,Do you mean the left or right bearing?,
26,bearing in the triangle row,bearing,BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
27,Row 3 screw,screw,SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
28,green-row screw,screw,SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
29,Row 3 bearing,bearing,BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT,2,row,side,Do you mean the left or right bearing?,
30,bearing in the hexagon row,bearing,BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
31,Row 4 screw,screw,SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
32,blue-row screw,screw,SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
33,Row 4 bearing,bearing,BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,2,row,side,Do you mean the left or right bearing?,
34,bearing in the square row,bearing,BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
35,gear stand,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right stand?",
36,support bracket,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right bracket?",
37,left gear stand,gear_stand,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,side,row_or_color,Which row or color do you mean?,
38,right gear stand,gear_stand,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,side,row_or_color,Which row or color do you mean?,
39,gear,gear,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,category,row_and_side_or_size,"Which row or color, and which gear in that row?",
40,large gear,gear,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,size,row_or_color,Do you mean the large white Row 1 gear or the large blue Row 4 gear?,
41,smaller gear,gear,GEAR_ROW2_LEFT|GEAR_ROW3_LEFT,2,relative_size,row_or_color,Do you mean the smaller red Row 2 gear or the smaller green Row 3 gear?,
42,larger gear,gear,GEAR_ROW2_RIGHT|GEAR_ROW3_RIGHT,2,relative_size,row_or_color,Do you mean the larger red Row 2 gear or the larger green Row 3 gear?,
43,screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,8,category,row_and_side,"Which row or drive type, and is it for the left or right stand?",
44,silver screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT|SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,4,color,row_or_drive_and_side,"Do you mean the Row 1 H5 screw or Row 4 Phillips screw, and on which side?",
45,black screw,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,4,color,row_or_drive_and_side,"Do you mean the Row 2 T25 screw or Row 3 H3 screw, and on which side?",
46,bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right bearing?",
47,black bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,8,color_and_category,row_and_side,"Which row or color, and do you mean the left or right bearing?",
48,left bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW2_LEFT|BEARING_ROW3_LEFT|BEARING_ROW4_LEFT,4,side,row_or_color,Which row or color do you mean?,
49,right bearing,bearing,BEARING_ROW1_RIGHT|BEARING_ROW2_RIGHT|BEARING_ROW3_RIGHT|BEARING_ROW4_RIGHT,4,side,row_or_color,Which row or color do you mean?,
50,gear rod,gear_rod,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,category,row_or_color,Which row or color gear rod do you mean?,
51,gear shaft,gear_rod,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,category,row_or_color,Which row or color shaft do you mean?,
52,wooden pin,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT|PIN_ROW2_LEFT|PIN_ROW2_RIGHT|PIN_ROW3_LEFT|PIN_ROW3_RIGHT|PIN_ROW4_LEFT,7,material_and_category,row_and_role,"Which row, and which gear or crank is the pin for?",
53,Row 1 pin,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT,2,row,role_or_side,Which pin in that row do you mean?,
54,Row 2 pin,pin,PIN_ROW2_LEFT|PIN_ROW2_RIGHT,2,row,role_or_side,Which pin in that row do you mean?,
55,Row 3 pin,pin,PIN_ROW3_LEFT|PIN_ROW3_RIGHT,2,row,role_or_side,Which pin in that row do you mean?,
56,stand in the row with the crank handle,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_context,side,Do you mean the left or right stand in the crank-handle row?,
57,stand in a row with one gear,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,4,gear_count,row_and_side,"Do you mean Row 1 or Row 4, and the left or right stand?",
58,stand in a row with two gears,gear_stand,STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT,4,gear_count,row_and_side,"Do you mean Row 2 or Row 3, and the left or right stand?",
59,stand in a row that uses silver screws,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,4,screw_color,row_and_side,"Do you mean Row 1 or Row 4, and the left or right stand?",
60,stand in a row that uses black screws,gear_stand,STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT,4,screw_color,row_and_side,"Do you mean Row 2 or Row 3, and the left or right stand?",
61,bearing in the row with the crank handle,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT,2,row_context,side,Do you mean the left or right bearing in the crank-handle row?,
62,bearing in a row with one gear,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT|BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,4,gear_count,row_and_side,"Do you mean Row 1 or Row 4, and the left or right bearing?",
63,bearing in a row with two gears,bearing,BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT,4,gear_count,row_and_side,"Do you mean Row 2 or Row 3, and the left or right bearing?",
64,bearing in a row that uses silver screws,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT|BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,4,screw_color,row_and_side,"Do you mean Row 1 or Row 4, and the left or right bearing?",
65,bearing in a row that uses black screws,bearing,BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT,4,screw_color,row_and_side,"Do you mean Row 2 or Row 3, and the left or right bearing?",
66,screw in the row with the crank handle,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT,2,row_context,side,Do you mean the left or right screw in the crank-handle row?,
67,screw in a row with one gear,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT|SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,4,gear_count,row_and_side,"Do you mean Row 1 or Row 4, and the left or right screw?",
68,screw in a row with two gears,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,4,gear_count,row_and_side,"Do you mean Row 2 or Row 3, and the left or right screw?",
69,screw in a row that uses silver screws,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT|SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,4,screw_color,row_and_side,"Do you mean Row 1 or Row 4, and the left or right screw?",
70,screw in a row that uses black screws,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,4,screw_color,row_and_side,"Do you mean Row 2 or Row 3, and the left or right screw?",
71,first-row bracket,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 1?,
72,one of the Row 1 supports,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_number,side,Do you mean the left or right support in Row 1?,
73,second-row bracket,gear_stand,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 2?,
74,one of the Row 2 supports,gear_stand,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row_number,side,Do you mean the left or right support in Row 2?,
75,third-row bracket,gear_stand,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 3?,
76,one of the Row 3 supports,gear_stand,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row_number,side,Do you mean the left or right support in Row 3?,
77,fourth-row bracket,gear_stand,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 4?,
78,one of the Row 4 supports,gear_stand,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row_number,side,Do you mean the left or right support in Row 4?,
79,gear in a row with one gear,gear,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,gear_count,row_or_color,Do you mean the white Row 1 gear or the blue Row 4 gear?,
80,gear from a single-gear row,gear,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,gear_count,row_or_color,Do you mean the white Row 1 gear or the blue Row 4 gear?,
81,gear in a row with two gears,gear,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,4,gear_count,row_and_side_or_size,Which two-gear row—red Row 2 or green Row 3—and which gear?,
82,one of the gears from a two-gear row,gear,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,4,gear_count,row_and_side_or_size,"Which row or color, and do you mean the smaller left or larger right gear?",
83,smaller gear in a two-gear row,gear,GEAR_ROW2_LEFT|GEAR_ROW3_LEFT,2,gear_count_and_size,row_or_color,Do you mean the smaller red Row 2 gear or the smaller green Row 3 gear?,
84,larger gear in a two-gear row,gear,GEAR_ROW2_RIGHT|GEAR_ROW3_RIGHT,2,gear_count_and_size,row_or_color,Do you mean the larger red Row 2 gear or the larger green Row 3 gear?,
85,gear in a silver-screw row,gear,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,screw_color,row_or_color,Do you mean the white Row 1 gear or the blue Row 4 gear?,
86,gear in a black-screw row,gear,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,4,screw_color,row_and_side_or_size,Which black-screw row—red Row 2 or green Row 3—and which gear?,
87,gear rod from a one-gear row,gear_rod,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,gear_count,row_or_color,Do you mean the white Row 1 rod or the blue Row 4 rod?,
88,shaft from a single-gear row,gear_rod,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,gear_count,row_or_color,Do you mean the white Row 1 shaft or the blue Row 4 shaft?,
89,gear rod from a two-gear row,gear_rod,GEAR_ROD_ROW2|GEAR_ROD_ROW3,2,gear_count,row_or_color,Do you mean the red Row 2 rod or the green Row 3 rod?,
90,shaft carrying two gears,gear_rod,GEAR_ROD_ROW2|GEAR_ROD_ROW3,2,gear_count,row_or_color,Do you mean the red Row 2 shaft or the green Row 3 shaft?,
91,rod in a silver-screw row,gear_rod,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,screw_color,row_or_color,Do you mean the white Row 1 rod or the blue Row 4 rod?,
92,rod in a black-screw row,gear_rod,GEAR_ROD_ROW2|GEAR_ROD_ROW3,2,screw_color,row_or_color,Do you mean the red Row 2 rod or the green Row 3 rod?,
93,pin in the crank-handle row,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT,2,row_context,role,Do you mean the gear-retaining pin or the crank-handle pin?,
94,pin from the row with the crank,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT,2,row_context,role,Do you mean the pin for the gear or the pin for the crank handle?,
95,pin in a two-gear row,pin,PIN_ROW2_LEFT|PIN_ROW2_RIGHT|PIN_ROW3_LEFT|PIN_ROW3_RIGHT,4,gear_count,row_and_gear,"Do you mean Row 2 or Row 3, and the smaller-gear or larger-gear pin?",
96,gear pin from a two-gear row,pin,PIN_ROW2_LEFT|PIN_ROW2_RIGHT|PIN_ROW3_LEFT|PIN_ROW3_RIGHT,4,gear_count_and_role,row_and_gear,Which two-gear row and which gear do you mean?,
97,pin in a one-gear row,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT|PIN_ROW4_LEFT,3,gear_count,row_and_role,"Do you mean Row 1 or Row 4, and is it for a gear or the crank?",
98,pin from a silver-screw row,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT|PIN_ROW4_LEFT,3,screw_color,row_and_role,"Do you mean Row 1 or Row 4, and which retained part?",
99,pin in the triangle row,pin,PIN_ROW2_LEFT|PIN_ROW2_RIGHT,2,row_marker,gear_or_side,Do you mean the pin for the smaller left gear or the larger right gear?,
100,pin in the hexagon row,pin,PIN_ROW3_LEFT|PIN_ROW3_RIGHT,2,row_marker,gear_or_side,Do you mean the pin for the smaller left gear or the larger right gear?,
