index,description,object_category,reference_intent,expected_behavior,candidate_granularity,candidate_ids,candidate_count,known_traits,missing_traits,expected_response,Verified
12,square-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row_marker,side,Do you mean the left or right bracket?,o
13,gear of Row 2,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,row,side_or_size,Do you mean the smaller left gear or the larger right gear?,o
14,red gear,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,color,side_or_size,Do you mean the smaller or larger red gear?,o
15,gear in the triangle row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,row_marker,side_or_size,Do you mean the smaller left gear or the larger right gear?,o
16,gear of Row 3,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,row,side_or_size,Do you mean the smaller left gear or the larger right gear?,o
17,green gear,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,color,side_or_size,Do you mean the smaller or larger green gear?,o
18,gear in the hexagon row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,row_marker,side_or_size,Do you mean the smaller left gear or the larger right gear?,o
19,gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right stand?",o
20,support bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right bracket?",o
21,left gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,side,row_or_color,Which row or color do you mean?,o
22,right gear stand,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,side,row_or_color,Which row or color do you mean?,o
23,gear,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,category,row_and_side_or_size,"Which row or color, and which gear in that row?",o
24,gear rod,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,category,row_or_color,Which row or color gear rod do you mean?,o
25,gear shaft,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,category,row_or_color,Which row or color shaft do you mean?,o
26,stand in the row with the crank handle,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_context,side,Do you mean the left or right stand in the crank-handle row?,o
27,stand in a row with one gear,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,4,gear_count,row_and_side,"Do you mean Row 1 or Row 4, and the left or right stand?",o
28,stand in a row with two gears,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT,4,gear_count,row_and_side,"Do you mean Row 2 or Row 3, and the left or right stand?",o
29,stand in a row that uses silver screws,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,4,screw_color,row_and_side,"Do you mean Row 1 or Row 4, and the left or right stand?",o
30,stand in a row that uses black screws,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT,4,screw_color,row_and_side,"Do you mean Row 2 or Row 3, and the left or right stand?",o
31,first-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 1?,o
32,one of the Row 1 supports,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,row_number,side,Do you mean the left or right support in Row 1?,o
33,second-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 2?,o
34,one of the Row 2 supports,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,row_number,side,Do you mean the left or right support in Row 2?,o
35,third-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 3?,o
36,one of the Row 3 supports,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,row_number,side,Do you mean the left or right support in Row 3?,o
37,fourth-row bracket,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row_number,side,Do you mean the left or right bracket in Row 4?,o
38,one of the Row 4 supports,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,row_number,side,Do you mean the left or right support in Row 4?,o
39,gear in a row with one gear,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,gear_count,row_or_color,Do you mean the white Row 1 gear or the blue Row 4 gear?,o
40,gear from a single-gear row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,gear_count,row_or_color,Do you mean the white Row 1 gear or the blue Row 4 gear?,o
41,gear in a row with two gears,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,4,gear_count,row_and_side_or_size,Which two-gear row—red Row 2 or green Row 3—and which gear?,o
42,one of the gears from a two-gear row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,4,gear_count,row_and_side_or_size,"Which row or color, and do you mean the smaller left or larger right gear?",o
43,smaller gear in a two-gear row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW3_LEFT,2,gear_count_and_size,row_or_color,Do you mean the smaller red Row 2 gear or the smaller green Row 3 gear?,o
44,larger gear in a two-gear row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_RIGHT|GEAR_ROW3_RIGHT,2,gear_count_and_size,row_or_color,Do you mean the larger red Row 2 gear or the larger green Row 3 gear?,o
45,gear in a silver-screw row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,screw_color,row_or_color,Do you mean the white Row 1 gear or the blue Row 4 gear?,o
46,gear in a black-screw row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,4,screw_color,row_and_side_or_size,Which black-screw row—red Row 2 or green Row 3—and which gear?,o
47,gear rod from a one-gear row,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,gear_count,row_or_color,Do you mean the white Row 1 rod or the blue Row 4 rod?,o
48,shaft from a single-gear row,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,gear_count,row_or_color,Do you mean the white Row 1 shaft or the blue Row 4 shaft?,o
49,gear rod from a two-gear row,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW2|GEAR_ROD_ROW3,2,gear_count,row_or_color,Do you mean the red Row 2 rod or the green Row 3 rod?,o
50,shaft carrying two gears,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW2|GEAR_ROD_ROW3,2,gear_count,row_or_color,Do you mean the red Row 2 shaft or the green Row 3 shaft?,o
51,rod in a silver-screw row,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW4,2,screw_color,row_or_color,Do you mean the white Row 1 rod or the blue Row 4 rod?,o
52,rod in a black-screw row,gear_rod,ambiguous_singular,clarify,physical_instance,GEAR_ROD_ROW2|GEAR_ROD_ROW3,2,screw_color,row_or_color,Do you mean the red Row 2 rod or the green Row 3 rod?,o
53,shaft support,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,synonym,row_and_side,"Which row or color, and which side?",o
54,upright holder,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,synonym,row_and_side,"Which row or color, and which side?",o
55,the part that holds the bearing,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,function,row_and_side,"Which row or color, and the left or right stand?",o
56,left stand in a two-gear row,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW3_LEFT,2,side_and_gear_count,row_or_color,Do you mean the red Row 2 or green Row 3 left stand?,o
57,right bracket in a silver-screw row,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW1_RIGHT|STAND_ROW4_RIGHT,2,side_and_screw_color,row_or_color,Do you mean the white Row 1 or blue Row 4 right bracket?,o
58,smaller gear in a black-screw row,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW3_LEFT,2,size_and_screw_color,row_or_color,Do you mean the smaller red Row 2 or green Row 3 gear?,o
59,one of those red brackets,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,color_and_synonym,side,Do you mean the left or right red bracket?,o
60,the gear beside a green stand,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,color_and_relationship,side_or_size,Do you mean the smaller left or larger right green gear?,o
61,row2 support,gear_stand,ambiguous_singular,clarify,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,abbreviated_row,side,Do you mean the left or right Row 2 support?,o
62,red gear thing,gear,ambiguous_singular,clarify,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,informal_color_category,side_or_size,Do you mean the smaller left or larger right red gear?,o
63,the white gear stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
64,the red gear stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW2_LEFT|STAND_ROW2_RIGHT,2,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
65,the green gear stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW3_LEFT|STAND_ROW3_RIGHT,2,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
66,the blue gear stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW4_LEFT|STAND_ROW4_RIGHT,2,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
67,the left gear stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
68,the right gear stands,gear_stand,explicit_plural,return_all,physical_instance,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
69,the Row 2 gears,gear,explicit_plural,return_all,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
70,the Row 3 gears,gear,explicit_plural,return_all,physical_instance,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
71,the large gears,gear,explicit_plural,return_all,physical_instance,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
72,the gear rods,gear_rod,explicit_plural,return_all,physical_instance,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,plural_category,none,Return all listed matching objects without asking for a singular choice.,o
73,the Row 2 gear pair,gear,collective_group,return_group,physical_instance,GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT,2,explicit_group,none,Return the complete named group without clarification.,o
74,the Row 3 gear pair,gear,collective_group,return_group,physical_instance,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,explicit_group,none,Return the complete named group without clarification.,o
75,both stands in the crank row,gear_stand,collective_group,return_group,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT,2,explicit_group,none,Return the complete named group without clarification.,o
76,the stands in the silver-screw rows,gear_stand,collective_group,return_group,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,4,explicit_group,none,Return the complete named group without clarification.,o
77,bearing,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,category,assembly_row,Which row are you assembling?,o
78,black bearing,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,color_and_category,assembly_row,Which row are you assembling?,o
79,round bearing,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,shape_and_category,assembly_row,Which row are you assembling?,o
80,bearing from the parts box,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,storage_context,assembly_row,Which row are you assembling?,o
81,shaft bearing,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,function,assembly_row,Which row are you assembling?,o
82,bearing for a gear stand,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,4,relationship,assembly_row,Which row are you assembling?,o
83,bearing for a one-gear row,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,2,gear_count,assembly_row,Are you assembling Row 1 or Row 4?,o
84,bearing for a two-gear row,bearing,underspecified,clarify,row_kit,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
85,bearing from a silver-screw row,bearing,underspecified,clarify,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT|BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,2,screw_color,assembly_row,Are you assembling Row 1 or Row 4?,o
86,bearing from a black-screw row,bearing,underspecified,clarify,row_kit,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT,2,screw_color,assembly_row,Are you assembling Row 2 or Row 3?,o
87,the Row 1 bearings,bearing,collective_group,return_group,row_kit,BEARING_ROW1_LEFT+BEARING_ROW1_RIGHT,1,explicit_row_group,none,Return the bearings from the Row 1 kit without asking for a side.,o
88,the Row 2 bearings,bearing,collective_group,return_group,row_kit,BEARING_ROW2_LEFT+BEARING_ROW2_RIGHT,1,explicit_row_group,none,Return the bearings from the Row 2 kit without asking for a side.,o
89,the Row 3 bearings,bearing,collective_group,return_group,row_kit,BEARING_ROW3_LEFT+BEARING_ROW3_RIGHT,1,explicit_row_group,none,Return the bearings from the Row 3 kit without asking for a side.,o
90,the Row 4 bearings,bearing,collective_group,return_group,row_kit,BEARING_ROW4_LEFT+BEARING_ROW4_RIGHT,1,explicit_row_group,none,Return the bearings from the Row 4 kit without asking for a side.,o
91,screw,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,4,category,assembly_row,"Which row are you assembling, or which screw drive do you need?",o
92,mounting screw,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,4,function,assembly_row,"Which row are you assembling, or which screw drive do you need?",o
93,stand screw,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,4,relationship,assembly_row,"Which row are you assembling, or which screw drive do you need?",o
94,silver screw,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,2,color,assembly_row,Do you need the Row 1 H5 screw or Row 4 Phillips screw?,o
95,black screw,screw,underspecified,clarify,row_kit,SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT,2,color,assembly_row,Do you need the Row 2 T25 screw or Row 3 H3 screw?,o
96,hex-socket screw,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT,2,drive_family,assembly_row,Do you need the Row 1 H5 screw or Row 3 H3 screw?,o
97,screw requiring a hex key,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT,2,tool_family,assembly_row,Do you need the Row 1 H5 screw or Row 3 H3 screw?,o
98,screw for a one-gear row,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,2,gear_count,assembly_row,Are you assembling Row 1 or Row 4?,o
99,screw for a two-gear row,screw,underspecified,clarify,row_kit,SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
100,the screws from a silver-screw row,screw,underspecified,clarify,row_kit,SCREW_ROW1_LEFT+SCREW_ROW1_RIGHT|SCREW_ROW4_LEFT+SCREW_ROW4_RIGHT,2,color,assembly_row,Are you assembling Row 1 or Row 4?,o
101,the screws from a black-screw row,screw,underspecified,clarify,row_kit,SCREW_ROW2_LEFT+SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT+SCREW_ROW3_RIGHT,2,color,assembly_row,Are you assembling Row 2 or Row 3?,o
102,wooden pin,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT|PIN_ROW4_LEFT,4,material_and_category,assembly_row,Which row are you assembling?,o
103,pin,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT|PIN_ROW4_LEFT,4,category,assembly_row,Which row are you assembling?,o
104,wooden dowel,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT|PIN_ROW4_LEFT,4,material_and_synonym,assembly_row,Which row are you assembling?,o
105,retaining pin,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT|PIN_ROW4_LEFT,4,function,assembly_row,Which row are you assembling?,o
106,gear pin,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT|PIN_ROW4_LEFT,4,relationship,assembly_row,Which row are you assembling?,o
107,pin for a one-gear row,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW4_LEFT,2,gear_count,assembly_row,Are you assembling Row 1 or Row 4?,o
108,pin for a two-gear row,pin,underspecified,clarify,row_kit,PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,gear_count,assembly_row,Are you assembling Row 2 or Row 3?,o
109,pin from a silver-screw row,pin,underspecified,clarify,row_kit,PIN_ROW1_LEFT+PIN_ROW1_RIGHT|PIN_ROW4_LEFT,2,screw_color,assembly_row,Are you assembling Row 1 or Row 4?,o
110,pin from a black-screw row,pin,underspecified,clarify,row_kit,PIN_ROW2_LEFT+PIN_ROW2_RIGHT|PIN_ROW3_LEFT+PIN_ROW3_RIGHT,2,screw_color,assembly_row,Are you assembling Row 2 or Row 3?,o
111,bearing pedestal,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,technical_synonym,row_and_side,"Which row or color, and which side?",o
112,bearing holder,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,functional_synonym,row_and_side,"Which row or color, and which side?",o
113,stand with a bearing recess,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,geometry,row_and_side,"Which row or color, and which side?",o
114,one of the bearing pedestals,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,indefinite_synonym,row_and_side,"Which row or color, and which side?",o
115,stand without the extra through-hole,gear_stand,underspecified,clarify,physical_instance,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,7,geometry,row_and_side,"Which row or color, and which side?",o
