event_index,timestamp,transcript,vlm_prediction,vlm_raw,selected_step,selected_step_state,graph_decision,matched_parts,current_assemblies,highlight_ids,assembly_highlight_parts,spoken_response
23,2026-08-28T19:58:18-04:00,Can I get the bearing?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
24,2026-08-28T19:59:58-04:00,Can you give me a gear rod?,GEAR_ROD_ROW1,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROD_ROW1"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROD_ROW1""]",[],[14],"[""GEAR_ROD_ROW1""]",I highlighted the Row 1 gear rod. Do you want me to get it?
25,2026-08-28T20:00:38-04:00,Can you get me the gear?,GEAR_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROW1_LEFT""]",[],[26],"[""GEAR_ROW1_LEFT""]",I highlighted the Row 1 left gear. Do you want me to get it?
26,2026-08-28T20:02:08-04:00,Can you give me the stand?,STAND_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_left,ready,fetch_confirmation_pending,"[""STAND_ROW1_LEFT""]",[],[18],"[""STAND_ROW1_LEFT""]",I highlighted the Row 1 left stand. Do you want me to get it?
27,2026-08-28T21:25:33-04:00,Can you give me the bearing?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
28,2026-08-28T21:26:12-04:00,Can you give me the gear stand?,STAND_ROW1_RIGHT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_RIGHT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""STAND_ROW1_RIGHT""]",[],[19],"[""STAND_ROW1_RIGHT""]",I highlighted the Row 1 right stand. Do you want me to get it?
29,2026-08-28T21:27:22-04:00,Can you give me the gear stand?,STAND_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_left,ready,fetch_confirmation_pending,"[""STAND_ROW1_LEFT""]",[],[18],"[""STAND_ROW1_LEFT""]",I highlighted the Row 1 left stand. Do you want me to get it?
30,2026-08-28T21:28:28-04:00,Can you give me the key rod?,GEAR_ROD_ROW1,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""member_of_recent_set"",""confirmation"":"""",""step_scope"":"""",""target"":""AMBIGUOUS"",""candidates"":[""GEAR_ROD_ROW1""],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROD_ROW1""]",[],[14],"[""GEAR_ROD_ROW1""]",I highlighted the Row 1 gear rod. Do you want me to get it?
31,2026-08-28T21:29:06-04:00,Can you give me the gear?,GEAR_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROW1_LEFT""]",[],[26],"[""GEAR_ROW1_LEFT""]",I highlighted the Row 1 left gear. Do you want me to get it?
32,2026-08-28T21:34:44-04:00,Can you give me the bearing?,BEARING,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""BEARING"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""BEARING_ROW1_RIGHT""]",[],[35],"[""BEARING_ROW1_RIGHT""]",I highlighted the bearing. Do you want me to get it?
33,2026-08-28T21:35:24-04:00,Can you give me the gear stand?,STAND_ROW1_RIGHT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_RIGHT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_right,ready,fetch_confirmation_pending,"[""STAND_ROW1_RIGHT""]",[],[19],"[""STAND_ROW1_RIGHT""]",I highlighted the Row 1 right stand. Do you want me to get it?
34,2026-08-28T21:36:32-04:00,Can you give me the gear rod?,GEAR_ROD_ROW1,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROD_ROW1"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROD_ROW1""]",[],[14],"[""GEAR_ROD_ROW1""]",I highlighted the Row 1 gear rod. Do you want me to get it?
35,2026-08-28T21:37:12-04:00,Can you give me the gear?,GEAR_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""GEAR_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_gear_rod,ready,fetch_confirmation_pending,"[""GEAR_ROW1_LEFT""]",[],[26],"[""GEAR_ROW1_LEFT""]",I highlighted the Row 1 left gear. Do you want me to get it?
36,2026-08-28T21:38:42-04:00,Can you give me the gear stand?,STAND_ROW1_LEFT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""same_as_previous"",""confirmation"":"""",""step_scope"":"""",""target"":""STAND_ROW1_LEFT"",""candidates"":[],""exclude_labels"":[],""answer"":""""}",r1_bearing_left,ready,fetch_confirmation_pending,"[""STAND_ROW1_LEFT""]",[],[18],"[""STAND_ROW1_LEFT""]",I highlighted the Row 1 left stand. Do you want me to get it?
