index,description,object_category,candidate_ids,candidate_count,known_traits,missing_traits,expected_response,Verified
16,gear of Row 3,gear,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,row,side_or_size,Do you mean the smaller left gear or the larger right gear?,
17,green gear,gear,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,color,side_or_size,Do you mean the smaller or larger green gear?,
18,gear in the hexagon row,gear,GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT,2,row_marker,side_or_size,Do you mean the smaller left gear or the larger right gear?,
19,Row 1 screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
20,white-row screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
21,Row 1 bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT,2,row,side,Do you mean the left or right bearing?,
22,bearing in the circle row,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
23,Row 2 screw,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
24,red-row screw,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
25,Row 2 bearing,bearing,BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT,2,row,side,Do you mean the left or right bearing?,
26,bearing in the triangle row,bearing,BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
27,Row 3 screw,screw,SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
28,green-row screw,screw,SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
29,Row 3 bearing,bearing,BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT,2,row,side,Do you mean the left or right bearing?,
30,bearing in the hexagon row,bearing,BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
31,Row 4 screw,screw,SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,2,row,side,Do you mean the left or right mounting screw?,
32,blue-row screw,screw,SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,2,associated_row,side,Do you mean the screw for the left or right stand?,
33,Row 4 bearing,bearing,BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,2,row,side,Do you mean the left or right bearing?,
34,bearing in the square row,bearing,BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,2,row_marker,side,Do you mean the left or right bearing?,
35,gear stand,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right stand?",
36,support bracket,gear_stand,STAND_ROW1_LEFT|STAND_ROW1_RIGHT|STAND_ROW2_LEFT|STAND_ROW2_RIGHT|STAND_ROW3_LEFT|STAND_ROW3_RIGHT|STAND_ROW4_LEFT|STAND_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right bracket?",
37,left gear stand,gear_stand,STAND_ROW1_LEFT|STAND_ROW2_LEFT|STAND_ROW3_LEFT|STAND_ROW4_LEFT,4,side,row_or_color,Which row or color do you mean?,
38,right gear stand,gear_stand,STAND_ROW1_RIGHT|STAND_ROW2_RIGHT|STAND_ROW3_RIGHT|STAND_ROW4_RIGHT,4,side,row_or_color,Which row or color do you mean?,
39,gear,gear,GEAR_ROW1_LEFT|GEAR_ROW2_LEFT|GEAR_ROW2_RIGHT|GEAR_ROW3_LEFT|GEAR_ROW3_RIGHT|GEAR_ROW4_LEFT,6,category,row_and_side_or_size,"Which row or color, and which gear in that row?",
40,large gear,gear,GEAR_ROW1_LEFT|GEAR_ROW4_LEFT,2,size,row_or_color,Do you mean the large white Row 1 gear or the large blue Row 4 gear?,
41,smaller gear,gear,GEAR_ROW2_LEFT|GEAR_ROW3_LEFT,2,relative_size,row_or_color,Do you mean the smaller red Row 2 gear or the smaller green Row 3 gear?,
42,larger gear,gear,GEAR_ROW2_RIGHT|GEAR_ROW3_RIGHT,2,relative_size,row_or_color,Do you mean the larger red Row 2 gear or the larger green Row 3 gear?,
43,screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT|SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT|SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,8,category,row_and_side,"Which row or drive type, and is it for the left or right stand?",
44,silver screw,screw,SCREW_ROW1_LEFT|SCREW_ROW1_RIGHT|SCREW_ROW4_LEFT|SCREW_ROW4_RIGHT,4,color,row_or_drive_and_side,"Do you mean the Row 1 H5 screw or Row 4 Phillips screw, and on which side?",
45,black screw,screw,SCREW_ROW2_LEFT|SCREW_ROW2_RIGHT|SCREW_ROW3_LEFT|SCREW_ROW3_RIGHT,4,color,row_or_drive_and_side,"Do you mean the Row 2 T25 screw or Row 3 H3 screw, and on which side?",
46,bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,8,category,row_and_side,"Which row or color, and do you mean the left or right bearing?",
47,black bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW1_RIGHT|BEARING_ROW2_LEFT|BEARING_ROW2_RIGHT|BEARING_ROW3_LEFT|BEARING_ROW3_RIGHT|BEARING_ROW4_LEFT|BEARING_ROW4_RIGHT,8,color_and_category,row_and_side,"Which row or color, and do you mean the left or right bearing?",
48,left bearing,bearing,BEARING_ROW1_LEFT|BEARING_ROW2_LEFT|BEARING_ROW3_LEFT|BEARING_ROW4_LEFT,4,side,row_or_color,Which row or color do you mean?,
49,right bearing,bearing,BEARING_ROW1_RIGHT|BEARING_ROW2_RIGHT|BEARING_ROW3_RIGHT|BEARING_ROW4_RIGHT,4,side,row_or_color,Which row or color do you mean?,
50,gear rod,gear_rod,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,category,row_or_color,Which row or color gear rod do you mean?,
51,gear shaft,gear_rod,GEAR_ROD_ROW1|GEAR_ROD_ROW2|GEAR_ROD_ROW3|GEAR_ROD_ROW4,4,category,row_or_color,Which row or color shaft do you mean?,
52,wooden pin,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT|PIN_ROW2_LEFT|PIN_ROW2_RIGHT|PIN_ROW3_LEFT|PIN_ROW3_RIGHT|PIN_ROW4_LEFT,7,material_and_category,row_and_role,"Which row, and which gear or crank is the pin for?",
53,Row 1 pin,pin,PIN_ROW1_LEFT|PIN_ROW1_RIGHT,2,row,role_or_side,Which pin in that row do you mean?,
54,Row 2 pin,pin,PIN_ROW2_LEFT|PIN_ROW2_RIGHT,2,row,role_or_side,Which pin in that row do you mean?,
55,Row 3 pin,pin,PIN_ROW3_LEFT|PIN_ROW3_RIGHT,2,row,role_or_side,Which pin in that row do you mean?,
